"R0000100","R0357900","R0358200","R0358300","R0358500","R0358700","R0359500","R0536300","R0536401","R0536402","R1235800","R1482600","R9792900","R9793400","R9793500","R9793600","R9793700","R9793800","R9793900"
25,0,-4,0,-4,-4,0,2,3,1983,1,2,41,-4,-4,-4,-4,-4,-4
26,0,-4,0,-4,-4,0,1,10,1980,1,1,2,-4,-4,-4,-4,-4,-4
27,1,4,1,12,4,0,1,5,1981,1,1,-4,-4,-4,-4,-4,-4,-4
28,0,-4,0,-4,-4,0,2,11,1983,1,1,74,-4,-4,-4,-4,-4,-4
29,1,-4,0,-4,-4,0,2,1,1983,1,4,-4,-4,-4,-4,-4,-4,-4
30,0,-4,0,-4,-4,0,1,6,1981,1,4,-4,-4,-4,-4,-4,-4,-4
31,0,-4,0,-4,-4,0,1,7,1982,1,4,91,-4,-4,-4,-4,450,590
32,1,-4,0,-4,-4,0,2,7,1981,1,4,-3,-4,-4,-4,-4,-4,-4
33,0,-4,1,0,-4,0,2,12,1980,1,4,96,-4,-4,-4,-4,-4,-4
34,1,-4,1,0,-4,0,2,12,1984,1,4,-4,-4,-4,-4,-4,-4,-4
35,0,-4,0,-4,-4,0,1,1,1983,1,4,81,-4,-4,-4,-4,560,520
36,1,10,1,3,0,1,2,8,1980,1,4,72,-4,-4,-4,-4,-4,-4
37,0,-4,0,-4,-4,0,2,11,1980,1,4,78,-4,-4,-4,-4,540,630
38,0,-4,0,-4,-4,0,2,9,1981,1,4,72,-4,-4,-4,-4,-4,-4
39,1,0,1,4,0,0,1,2,1980,1,2,-4,-4,-4,-4,-4,-4,-4
40,0,-4,0,-4,-4,0,2,5,1984,1,4,-4,-4,-4,-4,-4,-4,-4
41,0,-4,0,-4,-4,0,2,1,1983,1,4,83,-4,-4,-4,-4,560,690
42,0,-4,0,-4,-4,0,1,8,1983,1,4,-4,-4,-4,-4,-4,-4,-4
43,0,-4,0,-4,-4,0,2,10,1981,1,1,67,-4,-4,-4,-4,-4,-4
44,0,-4,0,-4,-4,0,1,12,1981,1,2,-4,-4,-4,-4,-4,-4,-4
45,0,-4,0,-4,-4,0,2,2,1984,1,1,63,-4,-4,-4,-4,-4,-4
46,0,-4,0,-4,-4,0,1,2,1984,1,1,-4,-4,-4,-4,-4,-4,-4
47,0,-4,0,-4,-4,0,2,9,1982,1,1,-4,-4,-4,-4,-4,-4,-4
48,1,-4,1,0,-4,0,2,7,1983,1,1,-4,-4,-4,-4,-4,-4,-4
49,0,-4,0,-4,-4,0,2,12,1982,1,1,72,-4,-4,-4,-4,-4,-4
50,0,-4,0,-4,-4,0,2,2,1983,1,1,-4,-4,-4,-4,-4,-4,-4
51,0,-4,-1,-4,-4,0,1,6,1980,1,1,-3,-4,-4,-4,-4,-4,-4
52,0,-4,0,-4,-4,0,1,12,1983,1,1,63,-4,-4,-4,-4,-4,-4
53,0,-4,0,-4,-4,0,2,4,1984,1,1,74,-4,-4,-4,-4,-4,-4
54,0,-4,0,-4,-4,0,2,12,1984,1,1,-4,-4,-4,-4,-4,-4,-4
55,0,-4,0,-4,-4,0,2,2,1981,1,2,-4,-4,-4,-4,-4,-4,-4
56,0,-4,1,2,0,0,2,2,1982,1,4,87,-4,-4,-4,-4,-4,-4
57,0,-4,-1,-4,-4,0,1,12,1982,1,1,-3,-4,-4,-4,-4,-4,-4
58,1,0,0,-4,-4,1,1,11,1983,1,1,-4,-4,-4,-4,-4,-4,-4
59,0,-4,0,-4,-4,0,2,4,1981,1,1,81,-4,-4,-4,-4,-4,-4
60,0,-4,0,-4,-4,0,1,1,1984,1,4,86,-4,-4,-4,-4,260,460
61,0,-4,0,-4,-4,0,2,5,1983,1,1,69,-4,-4,-4,-4,-4,-4
62,0,-4,0,-4,-4,0,1,3,1980,1,1,2,21,20,19,22,620,530
63,0,-4,0,-4,-4,0,2,10,1984,1,1,2,15,12,17,18,-4,-4
64,0,-4,0,-4,-4,0,1,3,1980,1,1,63,-4,-4,-4,-4,-4,-4
65,0,-4,0,-4,-4,0,1,4,1984,1,1,2,-4,-4,-4,-4,-4,-4
66,0,-4,1,0,-4,0,1,10,1980,1,1,91,-4,-4,-4,-4,-4,-4
67,0,-4,1,0,-4,0,1,11,1980,1,1,73,-4,-4,-4,-4,270,360
68,0,-4,0,-4,-4,0,1,1,1981,1,1,62,-4,-4,-4,-4,-4,-4
69,0,-4,0,-4,-4,0,2,7,1981,1,1,76,-4,-4,-4,-4,-4,-4
70,0,-4,1,0,-4,0,1,8,1982,1,1,71,-4,-4,-4,-4,-4,-4
71,0,-4,1,0,-4,0,1,1,1980,1,1,79,-4,-4,-4,-4,-4,-4
72,1,-4,0,-4,-4,0,2,4,1982,1,1,-4,-4,-4,-4,-4,-4,-4
73,0,-4,0,-4,-4,0,1,10,1984,1,1,73,-4,-4,-4,-4,-4,-4
74,0,-4,0,-4,-4,0,1,7,1983,1,4,-4,-4,-4,-4,-4,-4,-4
75,0,-4,0,-4,-4,0,1,1,1982,1,4,70,-4,-4,-4,-4,200,360
76,0,-4,0,-4,-4,0,1,1,1982,1,4,71,-4,-4,-4,-4,-4,-4
77,0,-4,0,-4,-4,0,2,11,1984,1,2,-4,-4,-4,-4,-4,-4,-4
78,0,-4,0,-4,-4,0,2,7,1981,1,4,-3,-4,-4,-4,-4,-4,-4
79,0,-4,1,0,-4,0,1,12,1983,1,2,-3,-4,-4,-4,-4,-4,-4
80,1,0,0,-4,-4,1,1,6,1981,1,1,-4,-4,-4,-4,-4,-4,-4
81,0,-4,1,1,4,0,2,1,1984,1,1,-4,-4,-4,-4,-4,-4,-4
82,0,-4,0,-4,-4,0,1,7,1984,1,2,72,-4,-4,-4,-4,-4,-4
83,0,-4,0,-4,-4,0,1,9,1981,1,2,-4,-4,-4,-4,-4,-4,-4
84,0,-4,0,-4,-4,0,2,2,1984,1,2,83,-4,-4,-4,-4,-4,-4
85,0,-4,0,-4,-4,0,1,2,1984,1,4,-4,-4,-4,-4,-4,-4,-4
86,1,3,1,0,-4,0,2,10,1980,1,4,65,-4,-4,-4,-4,420,400
87,0,-4,0,-4,-4,0,1,5,1984,1,2,-4,-4,-4,-4,-4,-4,-4
88,0,-4,0,-4,-4,0,1,1,1981,1,4,-4,-4,-4,-4,-4,-4,-4
89,0,-4,0,-4,-4,0,1,11,1981,1,4,92,-4,-4,-4,-4,-4,-4
90,0,-4,0,-4,-4,0,1,11,1981,1,2,68,-4,-4,-4,-4,-4,-4
91,0,-4,0,-4,-4,0,2,9,1982,1,2,-4,-4,-4,-4,-4,-4,-4
92,0,-4,0,-4,-4,0,1,4,1983,1,4,-4,-4,-4,-4,-4,-4,-4
93,0,-4,1,0,-4,0,1,9,1983,1,2,74,-4,-4,-4,-4,-4,-4
94,1,-4,1,0,-4,0,2,9,1980,1,1,72,-4,-4,-4,-4,-4,-4
95,0,-4,0,-4,-4,0,1,7,1982,1,2,-4,-4,-4,-4,-4,-4,-4
96,0,-4,0,-4,-4,0,1,7,1982,1,4,-4,-4,-4,-4,-4,-4,-4
97,0,-4,1,0,-4,0,1,6,1980,1,2,77,-4,-4,-4,-4,-4,-4
98,0,-4,1,0,-4,0,1,1,1980,1,4,-4,-4,-4,-4,-4,-4,-4
99,0,-4,1,0,-4,0,1,6,1982,1,2,59,-4,-4,-4,-4,-4,-4
100,0,-4,0,-4,-4,0,2,1,1981,1,1,-3,-4,-4,-4,-4,-4,-4
101,0,-4,0,-4,-4,0,2,7,1981,1,1,68,-4,-4,-4,-4,-4,-4
102,1,3,1,6,1,0,2,4,1982,1,2,75,-4,-4,-4,-4,-4,-4
103,1,1,0,-4,-4,0,2,11,1983,1,2,74,19,20,16,19,460,440
104,1,-4,1,0,-4,0,2,11,1980,1,4,80,-4,-4,-4,-4,460,490
105,1,-4,1,0,-4,0,1,8,1983,1,4,79,-4,-4,-4,-4,-4,-4
106,1,-4,1,10,5,0,1,11,1981,1,4,75,-4,-4,-4,-4,450,410
107,0,-4,0,-4,-4,0,2,8,1982,1,4,93,24,25,25,20,650,590
108,0,-4,0,-4,-4,0,1,9,1984,1,4,92,-4,-4,-4,-4,660,510
109,1,-4,0,-4,-4,0,2,3,1982,1,4,88,22,22,22,23,510,500
110,-1,-4,0,-4,-4,0,2,2,1984,1,4,80,20,22,21,15,470,500
111,1,-4,1,0,-4,0,2,1,1981,1,4,89,22,24,25,18,490,610
112,0,-4,0,-4,-4,0,2,4,1984,1,4,82,18,14,21,16,420,480
113,0,-4,1,0,-4,0,1,4,1984,1,4,-4,-4,-4,-4,-4,-4,-4
114,1,2,1,1,1,0,2,7,1982,1,4,76,-4,-4,-4,-4,340,500
115,1,0,1,1,1,0,2,10,1984,1,2,-4,-4,-4,-4,-4,-4,-4
116,0,-4,0,-4,-4,0,1,10,1984,1,1,2,-4,-4,-4,-4,360,410
117,0,-4,0,-4,-4,0,1,10,1984,1,1,2,-4,-4,-4,-4,370,380
118,0,-4,1,0,-4,0,1,6,1980,1,4,2,-4,-4,-4,-4,370,400
119,1,-4,0,-4,-4,0,1,9,1982,1,4,-4,-4,-4,-4,-4,-4,-4
120,1,-4,1,0,-4,0,1,6,1982,1,4,-4,-4,-4,-4,-4,-4,-4
121,1,-4,1,0,-4,0,1,12,1981,1,4,76,-4,-4,-4,-4,510,590
122,1,1,0,-4,-4,0,1,6,1984,1,4,2,-4,-4,-4,-4,460,410
123,0,-4,1,1,0,0,1,2,1980,1,4,-3,-4,-4,-4,-4,510,590
124,0,-4,0,-4,-4,0,1,2,1982,1,4,-4,-4,-4,-4,-4,-4,-4
125,0,-4,0,-4,-4,0,2,5,1984,1,4,-4,-4,-4,-4,-4,-4,-4
126,1,-4,1,10,1,0,1,5,1981,1,4,-3,-4,-4,-4,-4,-4,-4
127,0,-4,0,-4,-4,0,2,3,1982,1,4,3,-4,-4,-4,-4,510,470
128,0,-4,0,-4,-4,0,2,8,1982,1,4,3,-4,-4,-4,-4,490,520
129,1,-4,0,-4,-4,0,2,8,1980,1,4,4,-4,-4,-4,-4,550,780
130,1,1,0,-4,-4,0,2,7,1981,1,4,-4,-4,-4,-4,-4,-4,-4
131,0,-4,0,-4,-4,0,1,10,1980,1,4,96,-4,-4,-4,-4,540,560
132,0,-4,0,-4,-4,0,1,2,1983,1,4,4,-4,-4,-4,-4,580,660
133,1,-4,1,0,-4,0,1,7,1982,1,4,4,-4,-4,-4,-4,500,720
134,0,-4,0,-4,-4,0,1,4,1984,1,4,3,-4,-4,-4,-4,600,570
135,1,1,1,1,0,0,1,4,1981,1,4,4,-4,-4,-4,-4,580,620
136,0,-4,0,-4,-4,0,2,9,1983,1,4,4,-4,-4,-4,-4,680,550
137,0,-4,1,0,-4,0,2,5,1980,1,4,-3,-4,-4,-4,-4,-4,-4
138,0,-4,1,0,-4,0,1,4,1984,1,4,2,-4,-4,-4,-4,540,550
139,0,-4,0,-4,-4,0,2,7,1984,1,4,4,-4,-4,-4,-4,800,650
140,0,-4,0,-4,-4,0,1,12,1983,1,2,-4,-4,-4,-4,-4,-4,-4
141,1,-4,1,0,-4,0,2,1,1980,1,4,-4,-4,-4,-4,-4,-4,-4
142,1,20,1,0,-4,0,2,1,1981,1,4,2,-4,-4,-4,-4,-4,-4
143,1,-4,0,-4,-4,0,1,8,1981,1,1,79,-4,-4,-4,-4,430,320
144,0,-4,0,-4,-4,0,1,8,1982,1,1,2,-4,-4,-4,-4,-4,-4
145,0,-4,1,9,2,0,1,4,1984,1,1,2,-4,-4,-4,-4,-4,-4
146,0,-4,0,-4,-4,0,1,7,1984,1,1,-4,-4,-4,-4,-4,-4,-4
147,0,-4,0,-4,-4,0,2,2,1984,1,4,-3,-4,-4,-4,-4,-4,-4
148,1,-4,1,0,-4,0,2,10,1982,1,1,2,-4,-4,-4,-4,-4,-4
149,0,-4,0,-4,-4,0,2,4,1983,1,1,2,-4,-4,-4,-4,-4,-4
150,1,-4,1,0,-4,0,1,2,1984,1,1,-3,-4,-4,-4,-4,-4,-4
151,0,-4,1,1,0,0,2,1,1982,1,1,73,-4,-4,-4,-4,-4,-4
152,1,-4,1,0,-4,0,1,5,1982,1,1,65,-4,-4,-4,-4,-4,-4
153,1,3,1,3,0,1,2,2,1980,1,1,3,-4,-4,-4,-4,-4,-4
154,1,-4,1,0,-4,0,1,6,1980,1,4,3,-4,-4,-4,-4,-4,-4
155,1,2,1,3,4,0,1,2,1980,1,4,4,-4,-4,-4,-4,-4,-4
156,0,-4,1,0,-4,0,1,11,1982,1,4,4,-4,-4,-4,-4,-4,-4
157,0,-4,0,-4,-4,0,2,3,1982,1,2,4,-4,-4,-4,-4,-4,-4
158,0,-4,0,-4,-4,0,1,12,1984,1,2,93,-4,-4,-4,-4,480,520
159,1,-4,1,4,2,0,2,1,1980,1,2,77,-4,-4,-4,-4,270,200
160,1,6,1,4,7,0,2,1,1981,1,2,-3,-4,-4,-4,-4,-4,-4
161,1,-4,1,0,-4,0,1,1,1982,1,2,1,-4,-4,-4,-4,-4,-4
162,0,-4,0,-4,-4,1,2,8,1981,1,1,-3,-4,-4,-4,-4,520,410
163,1,-4,1,0,-4,1,1,2,1983,1,1,-4,-4,-4,-4,-4,-4,-4
164,1,10,1,10,1,1,2,7,1981,1,4,-3,-4,-4,-4,-4,-4,-4
165,0,-4,1,1,0,0,1,4,1980,1,4,-3,-4,-4,-4,-4,430,480
166,1,-4,1,2,2,0,2,9,1982,1,4,-3,-4,-4,-4,-4,460,660
167,0,-4,0,-4,-4,0,1,11,1984,1,2,-4,-4,-4,-4,-4,-4,-4
168,1,0,0,-4,-4,0,1,1,1981,1,2,-3,-4,-4,-4,-4,-4,-4
169,1,-4,0,-4,-4,0,2,1,1983,1,4,-3,19,19,20,19,-4,-4
170,0,-4,0,-4,-4,0,2,8,1984,1,4,-3,16,14,17,14,470,430
171,0,-4,0,-4,-4,0,2,7,1984,1,2,-3,-4,-4,-4,-4,500,540
172,0,-4,0,-4,-4,0,1,7,1983,1,4,-4,-4,-4,-4,-4,-4,-4
173,1,-4,1,0,-4,0,2,6,1980,1,4,4,-4,-4,-4,-4,540,440
174,0,-4,0,-4,-4,0,1,4,1983,1,4,3,-4,-4,-4,-4,290,430
175,1,-4,1,0,-4,0,2,10,1981,1,4,3,-4,-4,-4,-4,640,640
176,0,-4,0,-4,-4,0,1,9,1982,1,4,4,29,24,32,28,620,690
177,1,-4,1,1,0,0,2,11,1980,1,4,3,-4,-4,-4,-4,540,410
178,0,-4,0,-4,-4,0,2,3,1980,1,4,-4,-4,-4,-4,-4,-4,-4
179,0,-4,0,-4,-4,0,2,9,1981,1,4,4,-4,-4,-4,-4,670,670
180,0,-4,0,-4,-4,0,1,9,1983,1,4,-4,-4,-4,-4,-4,-4,-4
181,0,-4,0,-4,-4,0,2,11,1982,1,4,4,-4,-4,-4,-4,670,710
182,0,-4,0,-4,-4,0,2,5,1984,1,4,4,27,25,31,25,580,760
183,0,-4,0,-4,-4,0,2,12,1980,1,4,3,-4,-4,-4,-4,530,380
184,0,-4,1,0,-4,0,1,12,1984,1,4,3,-4,-4,-4,-4,550,520
185,1,2,1,4,1,1,1,6,1981,1,1,-4,-4,-4,-4,-4,-4,-4
186,0,-4,0,-4,-4,0,2,7,1983,1,4,-4,-4,-4,-4,-4,-4,-4
187,0,-4,0,-4,-4,0,1,9,1983,1,2,3,-4,-4,-4,-4,-4,-4
188,1,0,1,4,2,0,2,10,1980,1,4,3,-4,-4,-4,-4,-4,-4
189,0,-4,0,-4,-4,0,2,8,1984,1,4,3,20,21,19,21,450,440
190,1,1,1,2,0,0,1,10,1983,1,4,-4,-4,-4,-4,-4,-4,-4
191,1,2,1,1,0,0,1,2,1982,1,4,2,-4,-4,-4,-4,-4,-4
192,0,-4,0,-4,-4,0,2,3,1982,1,2,-4,-4,-4,-4,-4,-4,-4
193,0,-4,0,-4,-4,0,2,2,1981,1,1,1,-4,-4,-4,-4,-4,-4
194,1,-4,1,0,-4,0,2,10,1980,1,2,2,-4,-4,-4,-4,290,420
195,1,-4,0,-4,-4,1,1,1,1983,1,1,-4,-4,-4,-4,-4,-4,-4
196,0,-4,0,-4,-4,0,1,4,1984,1,2,-4,-4,-4,-4,-4,-4,-4
197,1,1,1,6,3,0,2,12,1981,1,4,-4,-4,-4,-4,-4,-4,-4
198,1,9,1,2,2,0,2,7,1980,1,4,2,-4,-4,-4,-4,-4,-4
199,1,10,1,0,-4,1,1,6,1982,1,4,78,-4,-4,-4,-4,500,470
200,0,-4,0,-4,-4,0,1,8,1980,1,4,89,-4,-4,-4,-4,-4,-4
201,0,-4,1,0,-4,0,2,12,1983,1,4,87,-4,-4,-4,-4,760,730
202,1,-4,0,-4,-4,0,1,1,1982,1,4,74,-4,-4,-4,-4,-4,-4
203,0,-4,1,0,-4,0,2,1,1984,1,4,90,-4,-4,-4,-4,420,480
204,1,12,1,11,7,0,2,5,1981,1,4,69,-4,-4,-4,-4,440,480
205,0,-4,1,1,0,0,2,11,1983,1,4,-4,-4,-4,-4,-4,-4,-4
206,1,2,1,0,-4,1,1,2,1982,1,4,79,-4,-4,-4,-4,360,400
207,1,0,1,2,0,1,2,11,1981,1,4,85,-4,-4,-4,-4,480,590
208,0,-4,1,1,0,0,2,3,1984,1,4,91,-4,-4,-4,-4,550,690
209,0,-4,0,-4,-4,0,1,6,1983,1,2,1,-4,-4,-4,-4,-4,-4
210,0,-4,0,-4,-4,0,1,5,1984,1,2,2,-4,-4,-4,-4,-4,-4
211,0,-4,0,-4,-4,0,2,6,1980,1,2,2,-4,-4,-4,-4,200,230
212,1,1,1,0,-4,0,1,2,1980,1,2,-4,-4,-4,-4,-4,-4,-4
213,0,-4,0,-4,-4,0,2,4,1982,1,2,6,-4,-4,-4,-4,430,440
214,0,-4,0,-4,-4,0,2,11,1982,1,2,3,-4,-4,-4,-4,340,410
215,0,-4,1,0,-4,0,1,5,1981,1,2,2,-4,-4,-4,-4,410,410
216,1,5,1,0,-4,1,2,6,1980,1,2,-4,-4,-4,-4,-4,-4,-4
217,0,-4,0,-4,-4,0,2,11,1982,1,2,-4,-4,-4,-4,-4,-4,-4
218,0,-4,0,-4,-4,0,1,9,1983,1,2,2,-4,-4,-4,-4,-4,-4
219,0,-4,0,-4,-4,0,1,3,1982,1,3,92,-4,-4,-4,-4,640,540
220,0,-4,0,-4,-4,0,1,3,1984,1,4,2,-4,-4,-4,-4,-4,-4
221,0,-4,0,-4,-4,0,2,9,1984,1,4,-3,-4,-4,-4,-4,-4,-4
222,1,3,0,-4,-4,0,1,1,1981,1,2,81,-4,-4,-4,-4,440,560
223,1,-4,1,0,-4,1,1,1,1981,1,2,89,-4,-4,-4,-4,500,550
224,0,-4,0,-4,-4,0,2,10,1982,1,4,85,-4,-4,-4,-4,400,400
225,0,-4,1,1,0,0,1,10,1980,1,4,-3,-4,-4,-4,-4,-4,-4
226,0,-4,0,-4,-4,0,2,3,1981,1,1,3,-4,-4,-4,-4,-4,-4
227,1,3,1,0,-4,1,2,1,1980,1,3,-4,-4,-4,-4,-4,-4,-4
228,0,-4,0,-4,-4,0,1,1,1984,1,4,2,-4,-4,-4,-4,390,430
229,0,-4,0,-4,-4,0,2,2,1984,1,4,4,-4,-4,-4,-4,580,620
230,1,5,0,-4,-4,0,1,5,1984,1,2,4,-4,-4,-4,-4,520,430
231,0,-4,1,3,2,1,1,11,1980,1,2,-4,-4,-4,-4,-4,-4,-4
232,0,-4,0,-4,-4,0,1,6,1984,1,2,-4,-4,-4,-4,-4,-4,-4
233,0,-4,1,10,16,0,1,12,1980,1,2,-3,-4,-4,-4,-4,-4,-4
234,1,0,0,-4,-4,1,2,8,1983,1,2,-3,-4,-4,-4,-4,-4,-4
235,0,-4,1,1,0,0,2,8,1981,1,4,3,-4,-4,-4,-4,410,440
236,0,-4,0,-4,-4,0,2,12,1984,1,2,-4,-4,-4,-4,-4,-4,-4
237,0,-4,0,-4,-4,0,1,3,1983,1,4,-4,-4,-4,-4,-4,-4,-4
238,0,-4,1,0,-4,0,2,8,1981,1,4,-3,-4,-4,-4,-4,530,700
239,1,-4,0,-4,-4,0,1,9,1980,1,4,3,-4,-4,-4,-4,420,270
240,1,-4,0,-4,-4,0,2,4,1983,1,4,-4,-4,-4,-4,-4,-4,-4
241,0,-4,1,0,-4,0,2,2,1983,1,2,-3,-4,-4,-4,-4,510,410
242,0,-4,1,1,0,0,1,6,1984,1,2,91,-4,-4,-4,-4,420,490
243,0,-4,0,-4,-4,0,2,2,1983,1,3,-3,-4,-4,-4,-4,-4,-4
244,0,-4,0,-4,-4,0,1,3,1983,1,2,76,-4,-4,-4,-4,-4,-4
245,0,-4,0,-4,-4,0,2,7,1984,1,4,-3,17,18,16,17,500,430
246,0,-4,1,0,-4,0,1,10,1980,1,2,82,-4,-4,-4,-4,-4,-4
247,0,-4,1,2,0,0,1,3,1982,1,4,97,-4,-4,-4,-4,550,600
248,1,1,0,-4,-4,0,2,9,1983,1,4,-3,-4,-4,-4,-4,590,560
249,1,7,1,3,1,0,1,8,1981,1,4,-4,-4,-4,-4,-4,-4,-4
250,1,4,1,8,2,1,1,9,1981,1,4,-4,-4,-4,-4,-4,-4,-4
251,0,-4,0,-4,-4,0,1,4,1982,1,2,87,-4,-4,-4,-4,470,540
252,0,-4,0,-4,-4,0,2,7,1984,1,2,90,-4,-4,-4,-4,510,470
253,-1,-4,-1,-4,-4,0,2,9,1984,1,4,-4,-4,-4,-4,-4,-4,-4
254,0,-4,0,-4,-4,0,1,8,1981,1,4,84,-4,-4,-4,-4,-4,-4
255,0,-4,0,-4,-4,0,2,7,1983,1,4,-4,-4,-4,-4,-4,-4,-4
256,1,10,1,2,1,0,1,8,1980,1,4,65,-4,-4,-4,-4,-4,-4
257,1,-4,1,0,-4,0,1,5,1984,1,4,62,-4,-4,-4,-4,-4,-4
258,1,1,1,3,2,0,1,11,1982,1,4,75,-4,-4,-4,-4,-4,-4
259,-1,-4,-1,-4,-4,-1,1,12,1981,1,4,-4,-4,-4,-4,-4,-4,-4
260,0,-4,0,-4,-4,0,1,12,1980,1,1,72,-4,-4,-4,-4,300,360
261,0,-4,0,-4,-4,0,1,4,1983,1,1,66,-4,-4,-4,-4,350,300
262,0,-4,0,-4,-4,0,1,9,1980,1,1,-4,-4,-4,-4,-4,-4,-4
263,0,-4,0,-4,-4,0,1,7,1983,1,1,45,-4,-4,-4,-4,-4,-4
264,1,-4,0,-4,-4,0,1,7,1982,1,4,64,-4,-4,-4,-4,-4,-4
265,0,-4,0,-4,-4,0,1,9,1983,1,2,72,-4,-4,-4,-4,-4,-4
266,1,2,1,3,0,0,2,12,1980,1,4,3,-4,-4,-4,-4,360,540
267,0,-4,1,2,0,0,2,12,1980,1,4,90,-4,-4,-4,-4,600,440
268,0,-4,1,0,-4,0,1,12,1981,1,2,69,-4,-4,-4,-4,370,320
269,1,5,1,2,0,1,2,6,1981,1,4,-3,-4,-4,-4,-4,-4,-4
270,1,-4,1,0,-4,0,2,1,1984,1,4,69,-4,-4,-4,-4,450,410
271,1,-4,0,-4,-4,0,2,8,1982,1,4,-3,-4,-4,-4,-4,-4,-4
272,1,-4,0,-4,-4,0,2,9,1982,1,2,-4,-4,-4,-4,-4,-4,-4
273,1,-4,0,-4,-4,0,2,4,1983,1,2,-4,-4,-4,-4,-4,-4,-4
274,1,1,1,0,-4,0,2,8,1980,1,2,-3,-4,-4,-4,-4,-4,-4
275,1,-4,1,0,-4,0,1,12,1980,1,2,-4,-4,-4,-4,-4,-4,-4
276,0,-4,0,-4,-4,0,2,1,1982,1,2,2,-4,-4,-4,-4,-4,-4
277,0,-4,0,-4,-4,0,1,2,1984,1,2,-3,-4,-4,-4,-4,-4,-4
278,1,1,1,1,0,0,1,9,1980,1,4,73,-4,-4,-4,-4,360,460
279,1,0,1,6,4,0,1,4,1981,1,4,85,-4,-4,-4,-4,640,590
280,0,-4,1,0,-4,0,1,5,1983,1,4,81,-4,-4,-4,-4,420,500
281,1,-4,0,-4,-4,0,1,12,1984,1,1,75,-4,-4,-4,-4,-4,-4
282,1,6,1,10,6,0,1,6,1980,1,4,72,-4,-4,-4,-4,-4,-4
283,0,-4,0,-4,-4,0,1,5,1984,1,4,8,-4,-4,-4,-4,440,450
284,0,-4,0,-4,-4,0,2,3,1981,1,1,-3,-4,-4,-4,-4,-4,-4
285,0,-4,1,0,-4,0,1,2,1981,1,4,71,-4,-4,-4,-4,-4,-4
286,1,-4,1,30,0,0,2,9,1984,1,4,97,-4,-4,-4,-4,-4,-4
287,1,15,1,3,1,0,1,5,1980,1,4,1,-4,-4,-4,-4,-4,-4
288,0,-4,0,-4,-4,0,2,10,1983,1,4,3,-4,-4,-4,-4,490,490
289,0,-4,0,-4,-4,0,2,10,1984,1,4,2,-4,-4,-4,-4,-4,-4
290,0,-4,1,0,-4,0,2,1,1984,1,4,73,-4,-4,-4,-4,-4,-4
291,1,15,1,15,20,1,2,6,1980,1,4,2,-4,-4,-4,-4,-4,-4
292,0,-4,1,0,-4,0,2,9,1984,1,1,3,-4,-4,-4,-4,450,380
293,0,-4,0,-4,-4,0,2,11,1983,1,2,4,-4,-4,-4,-4,600,490
294,0,-4,1,0,-4,0,1,5,1982,1,2,3,-4,-4,-4,-4,590,490
295,0,-4,1,0,-4,0,2,9,1984,1,2,2,-4,-4,-4,-4,-4,-4
