"R0000100","R0070400","R0070500","R0071000","R0357900","R0358100","R0358300","R0358500","R0358900","R0359100","R0536300","R0536401","R0536402","R1204700","R1205300","R1235800","R1302400","R1302500","R1302600","R1302700","R1482600","R9792900","R9793400","R9793500","R9793600","R9793700","R9793800","R9793900"
8066,2,4,5,0,-4,1,0,1,4,2,5,1982,500,4,0,-3,11,-4,11,1,0,-4,-4,-4,-4,-4,-4
8067,1,1,1,0,-4,0,-4,1,0,2,2,1984,500,4,0,12,11,-4,11,1,-4,-4,-4,-4,-4,-4,-4
8068,2,3,3,0,-4,1,0,1,0,2,9,1981,5955,4,0,-3,12,-4,12,1,-4,-4,-4,-4,-4,-4,-4
8069,4,4,4,1,0,1,1,0,-4,2,8,1980,254201,4,0,12,12,-4,12,1,2,-4,-4,-4,-4,-4,-4
8070,2,4,4,0,-4,0,-4,0,-4,2,6,1981,35000,2,0,12,12,12,12,1,3,22,26,18,24,-4,-4
8071,4,3,3,0,-4,0,-4,0,-4,1,2,1983,35000,2,0,12,12,12,12,1,3,-4,-4,-4,-4,-4,-4
8072,4,2,4,0,-4,0,-4,0,-4,1,11,1981,60500,4,0,14,16,-4,16,1,2,16,11,15,20,-4,-4
8073,2,-2,1,0,-4,0,-4,0,-4,1,1,1984,60500,4,0,16,16,-4,16,1,2,-4,-4,-4,-4,-4,-4
8074,3,1,2,0,-4,0,-4,0,-4,2,7,1983,57500,2,0,12,12,12,12,1,-4,-4,-4,-4,-4,-4,-4
8075,1,-2,1,0,-4,0,-4,0,-4,2,1,1983,10000,9,0,-4,-3,-4,-4,1,1,-4,-4,-4,-4,-4,-4
8076,3,5,5,0,-4,0,-4,0,-4,1,1,1984,36500,5,0,12,12,12,-4,1,1,-4,-4,-4,-4,-4,-4
8077,1,-2,1,0,-4,0,-4,0,-4,1,6,1983,86000,2,0,-3,12,12,12,1,-4,-4,-4,-4,-4,-4,-4
8078,4,1,4,0,-4,0,-4,0,-4,1,10,1983,14500,2,0,12,14,13,14,1,-4,-4,-4,-4,-4,-4,-4
8079,4,2,3,0,-4,1,0,0,-4,2,8,1982,14500,5,0,12,11,12,-4,1,3,-4,-4,-4,-4,-4,-4
8080,4,4,4,0,-4,0,-4,0,-4,2,5,1982,28700,1,0,12,12,12,12,1,-4,-4,-4,-4,-4,-4,-4
8081,2,4,4,0,-4,0,-4,0,-4,2,8,1980,-3,3,0,12,12,12,20,1,3,22,23,22,25,510,500
8082,3,2,3,0,-4,0,-4,0,-4,2,8,1981,-4,3,0,12,12,12,20,1,4,22,24,18,28,-4,-4
8083,1,1,1,0,-4,0,-4,0,-4,2,3,1984,2500,1,0,14,13,14,13,2,4,23,22,22,26,-4,-4
8084,1,1,1,0,-4,1,1,0,-4,2,1,1981,4950,2,0,-4,12,11,12,1,2,-4,-4,-4,-4,-4,-4
8085,4,4,1,0,-4,0,-4,0,-4,2,7,1983,4950,1,0,11,12,11,12,1,1,-4,-4,-4,-4,-4,-4
8086,3,2,2,0,-4,0,-4,0,-4,2,5,1982,2950,4,0,12,11,-4,11,1,95,-4,-4,-4,-4,580,500
8087,1,1,2,0,-4,1,2,1,5,1,2,1980,1750,1,0,11,12,11,12,2,-3,-4,-4,-4,-4,-4,-4
8088,3,3,3,0,-4,1,0,0,-4,1,1,1982,-3,4,0,12,13,-4,13,1,-4,-4,-4,-4,-4,-4,-4
8089,1,1,-2,0,-4,0,-4,0,-4,2,4,1983,10750,3,0,12,-3,12,15,1,2,-4,-4,-4,-4,-4,-4
8090,1,1,1,0,-4,1,1,0,-4,1,12,1984,1750,4,0,12,11,-4,11,1,-4,-4,-4,-4,-4,-4,-4
8091,4,5,3,0,-4,0,-4,0,-4,2,3,1982,1750,4,0,-3,9,-4,9,2,-3,-4,-4,-4,-4,-4,-4
8092,3,3,3,1,0,0,-4,0,-4,2,3,1980,500,4,0,7,8,-4,8,2,-4,-4,-4,-4,-4,-4,-4
8093,1,2,4,1,30,0,-4,0,-4,2,3,1982,500,4,0,7,8,-4,8,2,-4,-4,-4,-4,-4,-4,-4
8094,2,2,1,0,-4,0,-4,0,-4,1,11,1983,500,4,0,7,8,-4,8,2,-4,-4,-4,-4,-4,-4,-4
8095,5,3,5,1,0,0,-4,0,-4,2,2,1980,500,4,0,-4,8,-4,8,2,-4,-4,-4,-4,-4,-4,-4
8096,2,1,3,0,-4,1,0,0,-4,2,6,1983,4500,4,0,-3,12,-4,12,1,2,-4,-4,-4,-4,-4,-4
8097,3,3,4,1,10,1,0,1,0,2,1,1981,-3,2,0,-3,12,-3,12,1,2,-4,-4,-4,-4,-4,-4
8098,3,1,2,0,-4,0,-4,0,-4,2,2,1983,-3,-3,0,-3,12,-3,12,1,1,-4,-4,-4,-4,-4,-4
8099,2,1,2,0,-4,0,-4,0,-4,1,12,1982,17500,4,0,-3,12,-4,12,1,76,-4,-4,-4,-4,-4,-4
8100,-2,-2,1,0,-4,0,-4,0,-4,1,10,1982,500,4,0,-3,11,-4,11,2,-3,-4,-4,-4,-4,-4,-4
8101,1,1,1,0,-4,0,-4,0,-4,1,4,1984,72500,2,0,12,10,12,10,2,0,-4,-4,-4,-4,-4,-4
8102,4,3,4,1,0,0,-4,0,-4,1,6,1981,7490,4,0,8,16,-4,16,2,81,-4,-4,-4,-4,-4,-4
8103,1,1,2,0,-4,0,-4,0,-4,2,11,1984,-4,1,0,14,12,14,12,2,-4,-4,-4,-4,-4,-4,-4
8104,1,2,1,0,-4,0,-4,0,-4,1,5,1984,-4,1,0,-3,-3,-3,-3,1,3,15,12,15,14,280,400
8105,3,2,2,1,9,1,3,1,0,1,1,1981,-2050,1,0,13,12,13,12,2,-4,-4,-4,-4,-4,-4,-4
8106,5,5,1,1,0,0,-4,0,-4,2,8,1982,-2050,1,0,13,12,13,12,2,-3,-4,-4,-4,-4,-4,-4
8107,2,1,2,0,-4,0,-4,0,-4,2,2,1984,-4,1,0,6,8,6,8,2,1,-4,-4,-4,-4,730,660
8108,2,2,2,0,-4,0,-4,0,-4,1,3,1983,15300,1,0,12,14,12,14,2,-4,-4,-4,-4,-4,-4,-4
8109,1,1,1,0,-4,0,-4,0,-4,1,4,1981,1750,4,0,6,4,-4,4,2,3,-4,-4,-4,-4,-4,-4
8110,1,2,1,0,-4,0,-4,0,-4,1,5,1981,3755,2,0,4,6,10,6,2,-4,-4,-4,-4,-4,-4,-4
8111,1,1,1,0,-4,0,-4,0,-4,2,9,1984,3755,2,0,4,6,10,6,2,-3,-4,-4,-4,-4,-4,-4
8112,1,1,1,0,-4,0,-4,0,-4,2,8,1984,2750,4,0,-3,15,-4,15,2,3,-4,-4,-4,-4,480,480
8113,4,3,3,0,-4,1,0,0,-4,2,7,1981,6750,1,0,14,15,14,15,2,-3,-4,-4,-4,-4,-4,-4
8114,4,2,2,0,-4,0,-4,0,-4,2,3,1984,6750,1,0,14,15,14,15,2,-4,-4,-4,-4,-4,-4,-4
8115,1,1,1,0,-4,0,-4,0,-4,2,9,1982,24500,1,0,16,14,16,14,2,-3,-4,-4,-4,-4,480,580
8116,4,3,3,1,0,1,0,0,-4,2,3,1980,138500,1,0,15,20,15,20,2,-3,-4,-4,-4,-4,470,500
8117,1,1,1,1,0,0,-4,0,-4,2,10,1984,-5150,4,0,-4,15,-4,15,1,0,-4,-4,-4,-4,-4,-4
8118,1,1,1,0,-4,1,0,0,-4,2,11,1983,-3000,4,0,12,12,-4,12,1,-4,-4,-4,-4,-4,-4,-4
8119,5,5,4,0,-4,1,0,0,-4,2,1,1982,3050,1,0,10,12,10,12,1,3,-4,-4,-4,-4,350,310
8120,3,2,1,0,-4,0,-4,0,-4,2,9,1980,2050,5,0,12,12,12,-4,1,-4,-4,-4,-4,-4,-4,-4
8121,4,4,5,0,-4,0,-4,0,-4,2,10,1980,21796,4,0,14,10,-4,10,1,-3,-4,-4,-4,-4,-4,-4
8122,3,1,3,0,-4,0,-4,0,-4,2,7,1983,18500,2,0,12,12,12,12,1,-4,-4,-4,-4,-4,-4,-4
8123,4,3,4,0,-4,0,-4,0,-4,2,10,1983,18500,3,0,12,12,12,12,1,-4,-4,-4,-4,-4,-4,-4
8124,5,3,4,0,-4,0,-4,0,-4,1,1,1982,500,4,0,-3,12,-4,12,1,-4,-4,-4,-4,-4,-4,-4
8125,4,1,2,0,-4,0,-4,0,-4,2,12,1982,500,4,0,-3,12,-4,12,1,-4,-4,-4,-4,-4,-4,-4
8126,3,2,3,0,-4,0,-4,0,-4,1,10,1980,-3,5,0,16,16,16,-4,1,-4,-4,-4,-4,-4,-4,-4
8127,2,2,1,0,-4,0,-4,0,-4,2,11,1983,1850,4,0,12,12,-4,12,1,81,-4,-4,-4,-4,370,330
8128,3,3,3,0,-4,0,-4,0,-4,2,2,1983,-500,4,0,12,12,-4,12,1,-4,-4,-4,-4,-4,-4,-4
8129,5,4,4,0,-4,0,-4,0,-4,1,12,1981,-4,1,0,12,12,12,12,1,-4,-4,-4,-4,-4,-4,-4
8130,2,1,1,0,-4,1,1,0,-4,1,7,1980,-4,4,0,-3,11,-4,11,2,-3,-4,-4,-4,-4,-4,-4
8131,5,5,5,0,-4,1,1,0,-4,2,9,1981,3744,1,0,12,10,12,10,2,-4,-4,-4,-4,-4,-4,-4
8132,2,1,2,0,-4,0,-4,0,-4,1,5,1983,501,1,0,10,9,10,9,2,-4,-4,-4,-4,-4,-4,-4
8133,1,3,1,0,-4,1,0,0,-4,2,5,1983,501,1,0,10,9,10,9,2,-3,-4,-4,-4,-4,-4,-4
8134,1,1,-2,0,-4,0,-4,0,-4,2,3,1982,500,8,0,16,12,-4,-4,2,-4,-4,-4,-4,-4,-4,-4
8135,3,3,2,0,-4,1,0,0,-4,1,1,1983,500,8,0,16,12,-4,-4,2,-4,-4,-4,-4,-4,-4,-4
8136,2,1,1,0,-4,0,-4,0,-4,1,6,1983,-250,1,0,11,7,11,7,2,2,-4,-4,-4,-4,370,270
8137,3,3,3,0,-4,1,0,1,0,1,3,1980,2500,4,0,6,12,-4,12,2,3,-4,-4,-4,-4,-4,-4
8138,3,3,3,0,-4,0,-4,0,-4,1,7,1981,2500,4,0,6,12,-4,12,2,-4,-4,-4,-4,-4,-4,-4
8139,2,2,2,0,-4,0,-4,0,-4,2,4,1983,2500,1,0,13,12,13,12,2,-4,-4,-4,-4,-4,-4,-4
8140,4,4,4,1,0,1,0,1,0,2,2,1982,-840,4,0,13,13,-4,13,1,3,-4,-4,-4,-4,430,470
8141,2,1,3,0,-4,0,-4,0,-4,2,5,1982,26000,1,0,12,13,12,13,1,-4,-4,-4,-4,-4,-4,-4
8142,3,2,2,0,-4,0,-4,0,-4,1,11,1981,2250,4,0,3,5,-4,5,2,-3,-4,-4,-4,-4,-4,-4
8143,1,1,2,0,-4,0,-4,0,-4,2,11,1982,2250,4,0,3,5,-4,5,2,-4,-4,-4,-4,-4,-4,-4
8144,2,2,2,0,-4,0,-4,0,-4,2,11,1983,2250,4,0,3,5,-4,5,2,-3,-4,-4,-4,-4,-4,-4
8145,2,1,1,1,2,0,-4,0,-4,1,10,1981,7500,4,0,12,9,-4,9,1,-4,-4,-4,-4,-4,-4,-4
